Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian Project),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Design file),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Effort),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Insights),Custom field (Issue colour),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project target),Custom field (Rank),Custom field (Request Type),Custom field (Roadmap),Custom field (Score),Custom field (Sentiment),Custom field (Start date),Custom field (State),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Work item created forms),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Control the bird using directional controls,BG-11,10016,Story,Done,BG,Bird Game QA Project,software,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,Medium,Done,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,8/7/2026 15:18,8/10/2026 21:57,8/7/2026 15:18,8/10/2026 21:57,,0,"*User Story*

As a player, I want to move the bird upward and downward using keyboard or on-screen controls so that I can control its position during gameplay.

*Requirement References*

BR-FR-004
BR-FR-005
BR-FR-008

*Acceptance Criteria*

# While the Up Arrow key is held during gameplay, the bird moves upward.
# Releasing the Up Arrow stops the manual upward movement.
# While the Down Arrow key is held during gameplay, the bird moves downward.
# Releasing the Down Arrow stops the manual downward movement.
# Holding the on-screen Up button produces the same continuous upward movement as holding the Up Arrow key.
# Holding the on-screen Down button produces the same continuous downward movement as holding the Down Arrow key.
# Releasing either on-screen control button stops the corresponding manual movement.",,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003j:,,,,,,,,,,,,,,,,10007_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_283172393,,,10007,BG-2,Bird Controls & Movement,Done,8/10/2026 21:57
Make the bird jump using Space or mouse click,BG-12,10017,Story,Done,BG,Bird Game QA Project,software,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,Medium,Done,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,8/7/2026 15:23,8/10/2026 21:57,8/7/2026 15:32,8/10/2026 21:57,,0,"*User Story*

As a player, I want to make the bird jump using the Space key or a mouse click so that I can quickly move the bird upward during gameplay.

*Requirement References*

BR-FR-006
BR-FR-007

*Acceptance Criteria*

# Pressing Space during gameplay gives the bird one upward jump.
# A single press of Space produces one jump.
# Clicking inside the game area during gameplay gives the bird one upward jump.
# A single mouse click produces one jump.
# Both Space and mouse click produce the same intended upward-jump behaviour.",,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003r:,,,,,,,,,,,,,,,,10007_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_282848193,,,10007,BG-2,Bird Controls & Movement,Done,8/10/2026 21:57
Apply gravity when the bird is not manually controlled,BG-13,10018,Story,Done,BG,Bird Game QA Project,software,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,Medium,Done,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,8/7/2026 17:30,8/10/2026 21:57,8/7/2026 17:30,8/10/2026 21:57,,0,"*User Story*

As a player, I want gravity to pull the bird downward when I am not manually controlling it so that the game behaves consistently and requires continuous player interaction.

*Requirement Reference*

BR-FR-009

*Acceptance Criteria*

# Gravity becomes active after gameplay has started.
# When the player is not manually moving the bird, gravity gradually moves the bird downward.
# Gravity does not move the bird before gameplay has started.
# Manual movement controls can temporarily change the bird's movement while gameplay is active.
# When manual movement stops, gravity continues to pull the bird downward.",,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003z:,,,,,,,,,,,,,,,,10007_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_275222128,,,10007,BG-2,Bird Controls & Movement,Done,8/10/2026 21:57
Move and recycle the obstacle,BG-14,10019,Story,Done,BG,Bird Game QA Project,software,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,Medium,Done,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,8/7/2026 17:40,8/10/2026 21:57,8/7/2026 17:40,8/10/2026 21:57,,0,"*User Story*

As a player, I want the obstacle to move continuously across the game area and return for another pass so that gameplay can continue without requiring new obstacles to be created.

*Requirement References*

BR-FR-010
BR-FR-011

*Acceptance Criteria*

# During gameplay, the obstacle moves from the right side of the game area towards the left.
# The obstacle moves at a constant speed during each pass.
# When the obstacle completely leaves the left side of the game area, it is reset to the right side.
# After being reset to the right side, the obstacle begins another pass across the game area.
# The obstacle recycling behaviour continues while gameplay remains active.",,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00047:,,,,,,,,,,,,,,,,10007_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_274629452,,,10008,BG-3, Obstacle Behaviour,Done,8/10/2026 21:57
Randomise and constrain the obstacle opening,BG-15,10020,Story,Done,BG,Bird Game QA Project,software,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,Medium,Done,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,8/7/2026 17:46,8/10/2026 21:57,8/7/2026 18:57,8/10/2026 21:57,,0,"*User Story*

As a player, I want the obstacle opening to change position while remaining a consistent and valid size so that each obstacle pass provides variation without creating an impossible route.

*Requirement References*

BR-FR-012
BR-FR-013

*Acceptance Criteria*

# Each time the obstacle is reset, the vertical position of the opening is randomised.
# The obstacle opening remains 160 pixels high.
# The opening remains fully inside the playable area.
# The opening does not extend beyond the top boundary of the playable area.
# The opening does not extend beyond the bottom boundary of the playable area.
# The opening is positioned so that obstacle area remains visible both above and below the opening",,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004f:,,,,,,,,,,,,,,,,10007_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_274269829,,,10008,BG-3, Obstacle Behaviour,Done,8/10/2026 21:57
Initialise and display the player's score,BG-16,10021,Story,Done,BG,Bird Game QA Project,software,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,Medium,Done,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,8/7/2026 18:00,8/10/2026 21:57,8/7/2026 18:01,8/10/2026 21:57,,0,"*User Story*

As a player, I want my score to start at zero and remain visible during gameplay so that I can clearly track my progress.

*Requirement References*

BR-FR-014
BR-FR-017

*Acceptance Criteria*

# The player's score is set to 0 when a new game is opened.
# The score displays 0 before the player earns any points.
# The current score remains visible while gameplay is running.
# The displayed score reflects the player's current score throughout gameplay.",,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004n:,,,,,,,,,,,,,,,,10007_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_273398938,,,10009,BG-4,Scoring,Done,8/10/2026 21:57
Award one point for each successful obstacle pass,BG-17,10022,Story,Done,BG,Bird Game QA Project,software,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,Medium,Done,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,8/7/2026 18:06,8/10/2026 21:57,8/7/2026 18:06,8/10/2026 21:57,,0,"*User Story*

As a player, I want my score to increase when I successfully pass an obstacle so that my progress is accurately recorded.

*Requirement References*

BR-FR-015
BR-FR-016

*Acceptance Criteria*

# The score increases by 1 when the whole obstacle has moved past the bird horizontally without a collision.
# The score does not increase before the obstacle has been completely passed.
# A successful pass increases the score only once.
# The same obstacle pass cannot add more than one point.
# After the obstacle is reset and successfully passed again, the score can increase by another 1 point.
# If the bird collides with the obstacle before successfully passing it, no point is awarded for that pass.",,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004v:,,,,,,,,,,,,,,,,10007_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_273088795,,,10009,BG-4,Scoring,Done,8/10/2026 21:57
Detect collisions and safe obstacle passage,BG-18,10023,Story,Done,BG,Bird Game QA Project,software,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,Medium,Done,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,8/7/2026 18:12,8/10/2026 21:57,8/7/2026 18:12,8/10/2026 21:57,,0,"*User Story*

As a player, I want the game to correctly distinguish between collisions and safe passage through an obstacle so that Game Over occurs only when I hit an obstacle or game boundary.

*Requirement References*

BR-FR-018
BR-FR-019
BR-FR-020

*Acceptance Criteria*

# Collision with the upper pipe ends the game.
# Collision with the lower pipe ends the game.
# Reaching the top boundary of the playable area ends the game.
# Reaching the bottom boundary of the playable area ends the game.
# Passing through the clear obstacle opening does not end the game when the bird remains inside the opening.
# Game Over is triggered only when one of the defined collision conditions occurs.",,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00053:,,,,,,,,,,,,,,,,10007_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_272730758,,,10010,BG-5,Collision & Game Over,Done,8/10/2026 21:57
Handle the Game Over state,BG-19,10024,Story,Done,BG,Bird Game QA Project,software,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,Medium,Done,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,8/7/2026 18:16,8/10/2026 21:57,8/7/2026 18:21,8/10/2026 21:57,,0,"*User Story*

As a player, I want the game to clearly enter a Game Over state after a collision so that I know gameplay has ended and can see my final result.

*Requirement Reference*

BR-FR-021

*Acceptance Criteria*

# When a Game Over condition occurs, gameplay stops.
# The obstacle stops progressing as active gameplay.
# No further points are added after Game Over.
# The player's final score is displayed.
# Movement controls no longer move the bird after Game Over.
# The Game Over state remains active until the player chooses an available restart action.",,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005b:,,,,,,,,,,,,,,,,10007_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_272453654,,,10010,BG-5,Collision & Game Over,Done,8/10/2026 21:57
Provide a Restart action after Game Over,BG-20,10025,Story,Done,BG,Bird Game QA Project,software,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,Medium,Done,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,8/7/2026 18:25,8/10/2026 21:57,8/7/2026 18:27,8/10/2026 21:57,,0,"*User Story*

As a player, I want a Restart option after Game Over so that I can start another game without reloading the application.

*Requirement Reference*

BR-FR-022

*Acceptance Criteria*

# A Restart button is available after Game Over.
# The Restart button is visible on the Game Over screen.
# The Restart button can be selected by the player after Game Over.
# The Restart option is not required as part of normal active gameplay.",,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005j:,,,,,,,,,,,,,,,,10007_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_271958617,,,10011,BG-6,Restart,Done,8/10/2026 21:57
